review,sentiment
"Having been pleasantly surprised by Sandra Bullock's performance in Miss Congeniality, I decided to give Murder By Numbers a shot. While decent in plucky, self-effacing roles, Ms. Bullock's performance in ""serious"" roles (see Hope Floats, Speed 2, 28 Days) leave much to be desired. Her character is at the same time omniscient, confused, and sexually maladjusted (the sub-plot of Sandra's past comes across as needless filler that does little to develop her already shallow character). The two teenage boys gave decent performances, although their forensics expertise and catch-me-if-can attitude is belied by stupid errors that scream ""We did it!"" Chris Penn as the all-too-obvious suspect is wasted here, as is Ben Chaplin's token partner/love interest character.<br /><br />***Spoilers Ahead*** Mediocre acting aside, the biggest flaws can be traced to a TV-of-the-week plot that never has you totally buying into the murder motives in the first place, and as mentioned, the stupid errors (vomiting up a rare food on the murder scene, an all too convenient and framing of the school janitor, the two boys hanging out together in public, a convenient love interest to cause friction, etc. etc) cause the view to go from being intrigues to being bored and disappointed by the murderers. The ending was strictly ""By the Numbers"" and was probably the most disappointing aspect of the movie. Using the now-cliched tactic of almost showing the climactic scene at the beginning of the film, and then filling the audience in how we arrived at that moment, the final scenes surprise no one and lacked any of the so-called intelligence the film purported to arrive at it's conclusion. A somewhat promising concept, but poorly executed and weak in nearly every way. * out of ****.",negative
"This Santa movie starts off strange and I think Santa might be a pedo. Instead of the usual elf toy makers, this Santa has apparently kidnapped kids from all across the globe and makes them sing a bit like characters from ""It's a Small World""! I guess there are no child labor laws on the weird astral plane on which he lives (it's apparently NOT the North Pole and not on Earth)!! None of these kids seem very happy and I kept wanting to see commandos break in and rescue the tykes, though I guess for some of the third world kids, these working conditions were perhaps an improvement over local sweatshops. I sure hope that all they do is sing and make toys.<br /><br />Then, the scene abruptly changes to Hell where lots and lots of demons dance about like they are in a Busby Berkeley musical. This fun in put to a stop by Satan who orders one of them, Pitch, to go to Earth to ruin Christmas!! Personally, I thought this movie already did that! The Devil and his imps are actually kind of cute--like Hot Stuff from the Harvey Comics but with cool evil goatees! Or, if you are Puerto Rican, like a vejigante mask with a goatee! <br /><br />Somehow a poverty-stricken Mexican kid named Lupita, a group of jerky kids who want to mug Santa and some rich kid are key battlegrounds for the Devil and Santa!! So, if the Prince of Darkness (not Donald Trump, it's the OTHER Prince of Darkness) can somehow make her steal and be bad, he'll 'win'--what, we don't really know! In fact, as they root her on, you get the impression that the film makers intend Santa to be Jesus--as he has all these great powers AND fights the Devil over kids' souls! Later, Santa meets with his friend, Merlin. He asks him to make him a special powder that makes people dream nice dreams. Considering how much Santa laughs in the film (like a demented chipmunk), I assume he must use this drug A LOT! He immediately goes to see a blacksmith who makes him a magic key that opens ALL doors. Considering he keeps kids as his personal 'assistants', this magic key thing worries me immensely! During Santa's Christmas Eve ride, you see Lupita behave like a little angel--one problem down. Santa then takes time out now to take care of the rich kid whose parents are selfish jerks. He gives them some sort of crazy cocktail which magically solves their problems--two problems solved. This is a rare case where alcohol/drugs HELP kids and solves problems! And as for the little muggers, he gives them coal! Frustrated with his losses to Santa, Pitch then tries to steal the sleigh (which is pulled by creepy animatronic deer). When this fails, he destroys Santa's stash of 'magic powder'! As a result, Santa can't become invisible to avoid dogs and gets treed. Uh, oh...how can Santa take a detour to the Betty Ford Clinic if he's stuck up a tree?! Will St. Nick get down from the tree and get the monkey off his back or will the devils win? If you care, tune in and see. However, be warned that the film is bat-crap crazy! <br /><br />Technically speaking, the film is yecchy. While it is in color, it's really gaudy. The music is mostly done on an organ--which, along with bad singing from the kids, produces perhaps the worst soundtrack I've heard in recent memory. And the story is just incomprehensible and very, very, very creepy. Devils and a Santa that kidnaps kids is just plain creep-tastic. It's a film you should NEVER show to kids but makes a great film to watch with friends so you can laugh at it from start to finish!",negative
"Not the best of actors' movies.The director has concentrated on projected actor's stardom rather than giving a good entertainer. May be hero himself, his family and his sincere fans can enjoy it.But definitely it's not worth for neutral audience.The fight sequences are a total comedy.The dance moves in the song sequences are pathetic. The music is average.This film was the biggest flop for the actor. Inspite of the hype created over the movie, the movie failed miserably. Don't even think of watching this move even if you want to kill time. You can watch some cartoon instead.A good movie buff cannot digest this crap for 2 1/2 hours.",negative
"For me it's a case you'll never understand if you didn't live it.. so read this to know why would i have such unlimited anger..<br /><br />I heard a lot about (Bruce Lee).. my father loved him.. my mother who hates any minor shot of violence loved him ! and how she talks till now about his "" The Big Boss"" aka ""Fists of Fury"" , and the experience of watching it at the Egyptian movies 1973 with all the gigantic success.. further to that I watched a real good movie about him (Dragon: The Bruce Lee Story - 1993).. so I found myself crying : where are your movies Bruce ?!! <br /><br />I went to the video store.. and it was dumb move.. (you'll know why !).. and waw.. I found a lot of Bruce Lee movies.. I selected one named (Bruce Lee in New Guinea) <br /><br />I did it to myself and watched that one.. OH GOD please forgive your servant.. I harmed myself but with no intended decision.. I wouldn't do it if I knew its evil damaging !! its mythical level of hideousness !! <br /><br />After that I didn't understand at all what's the big fuss about Bruce Lee as a great immortal star ???.. why anybody would care whether he is here or there.. this hero (whom I've watched !) is not that gifted and not that genius and of course is not that sexy ??? <br /><br />Until my father saw THIS star and he asked me to pause at any of his close ups and after he examined his face a little.. he told me in a very definitive way ""this is not Bruce Lee"" ! so I became too confused to ask : who's this silly guy anyway ??!! <br /><br />It was 2001.. 2 years after my first entry to the IMDb database.. therefore I tended to it immediately to know who the hell is that man.. and I discovered the truth.. he isn't Bruce Lee.. No my dear friends.. he is Bruce Li !!! <br /><br />And what a huge.. so huge difference !! I just want to know who can love that bad clone ?? Or god forbid .. love his repulsive movies.. I watched 2 of them and couldn't bear finishing the third ! <br /><br />After that I ignored all our video stores because its cheap cunning (writing on the posters that THIS IS Bruce Lee !??).. and I've got the original.. The one and only Bruce Lee who is such a great star indeed and Oh BOY he certainly had the right to immortality.. and no less.",negative
"Had I checked IMDb BEFORE renting this DVD from Netflix, I'd have a couple of hours of my life back. I'm frankly suspicious when I see that a film's director also wrote it. In this case, according to the credits, the same guy was ""writter and director"" - unfortunately, an indication of the overall quality of this production. There were a few interesting moments (e.g., Judy Tenuta's scene reminded of her early comedy routines touting Judy-ism) which led me to rate this two stars rather than one. Those moments, however, were few and far between ... and I almost did not get to see them because the opening sequence was nearly incomprehensible to me, not to mention reprehensible in its violence. I admit I went back to watch that part again to see if I had missed something that would help me figure it out once I'd seen the whole thing. Nope, though I at least recognized who the characters were who would turn out to be important later. The ""spinning camera"" technique was overused and essentially pointless. I found myself talking to the TV screen: ""What?!?"" or ""For goodness sake, get ON with it!"" Not recommended.",negative
"Next stop on our journey through the calender-slasher scene is... oh yes, ""Graduation Day""! All of those seniors, just brimming with possibility and ready to venture out into the real world and become adults. That is, however, IF they can make it TO graduation without having to tangle with the campus lunatic who's running around, gouging the life out of students with his fencing sword... Yeah, it all stems from a the high school track star who drops dead from a blood clot during a race and a year later, her older sister returns home from the Navy for Graduation. The track coach holds the blame and broods in his demoted position in shop-class while the girl's boyfriend still mourns her death a year later... All of these characters are prime candidates for ""Serial Slasher of the Year"" and you just have to sit through this movie until the end to find out who-done-it. ""Graduation Day"" is fun, though it isn't spell-bindingly original by any means and there aren't a whole lot of memorable demises, but there is enough going on to keep you mildly entertained. Like Linnea Quigley screwing the music teacher and getting busted with a joint, 30 year-old actors playing teenagers, and of course... Rollerdisco! Gotta love that crap! You can do a lot worse than ""Graduation Day"", kiddies...",negative
"A really terrible movie, really low-budget, with terrible acting, a convoluted and inane plot, a modest reworking of the vampire tales mixed with modern science.<br /><br />The result is a total mess, without meaning for most parts, with very limited and cheap effects. It is not even fun, like several of the low budget independent movies of this kind<br /><br />A waste of time",negative
"Loaded with fine actors, I expected much more from ""Deceiver"" than was delivered. The plot is extremely contrived and manipulative. The many flashbacks only add to the confusion. Believability flies out the window and with the ending becomes unbearable and downright ridiculous. I would strongly advise anyone who likes their movie plots to be based on something that is at least possible to avoid ""Deceiver"" because you will be very frustrated. Maybe I am just not hip enough to get it, but my suspicion is that many others were totally confused by the story line and especially by the ending. Blurring the line between reality and lies simply does not work because the entire movie made no sense. - MERK",negative
"As a huge fan of the original Operation Delta Force, I thought I'd pick this film up. I figured it couldn't be too bad. However, here's a list of things I learnt from watching Operation Delta Force 4: Deep Fault.<br /><br />- The Delta Force, despite being the elite in American armed forces, are mostly mildly-overweight men in their late 30s and early 40s.<br /><br />- The Delta Force, despite being the elite in American armed forces, carry standard police issue pistols or AK-47s on their most important missions.<br /><br />- The Delta Force, despite being the elite in American armed forces, haven't learnt that during stealth missions, wearing bright red ski jumpers and running around in open spaces aren't exactly going to keep you out of sight.<br /><br />- When you drop a Molotov cocktail into a tank, it explodes externally like a grenade.<br /><br />- When you get hit by tank fire, you can run away, although the smoke caused may present minor difficulties for breathing.<br /><br />- You can die from one standard gun shot, but you can also live despite being hit multiple times by a sniper rifle, and a few times by an AK-47.<br /><br />- In hand-to-hand combat, members of The Delta Force, despite being the elite in American armed forces, are regularly pummeled by railroad attendants.<br /><br />- If bad guys are approaching you while on a slow-moving train, there's nothing to worry about - between the 4 of them, they can't manage to figure out how to get an automatic weapon to fire automatically, let alone hit anyone from 5 metres (16 feet) with at least 50 attempts between them.<br /><br />- If you're short on actors, just recycle them - the bad guy from Operation Delta Force 1 plays a good guy called Mac in Operation Delta Force 4, and the guy who played Mac in Operation Delta Force 3 now plays Skip Lang, a different good guy.<br /><br />- It's not OK for The Delta Force to shoot an unarmed terrorist, even if he's attempting to reload his weapon to kill you.<br /><br />- Grenades explode on impact with the ground when thrown by members of The Delta Force. When thrown by non-Delta Force personnel, they explode at exactly the point where the Delta Force members have thrown the grenades back at the bad guys.<br /><br />- Tanks can drive faster than standard trucks.<br /><br />- Militias and personal armies use the exact same chopper that the UN used in Operation Delta Force 1.<br /><br />- When a chopper arrives, a bad guy in that chopper cannot see you if you lie face-down.<br /><br />- Shooting someone multiple times in the chest will cause minor damage. Stabbing that person in the knee will kill them inside 5 seconds.<br /><br />- The Delta Force steal cars from old people to get around when in foreign countries, because the US Military do not provide them with any means of transport. This may also explain why they caught public transport.<br /><br />As you can see, this is not really the finest moment in film-making, but it's good for a laugh.",negative
"I LOVED this movie because Bobbie Phillips can REALLY FIGHT! I always hate when actors are not believable in action parts. It was great to see, no offense, but a WOMAN who can skillfully perform martial arts and fighting. If you compare this with most action movies with females you will DEFINITELY see what I mean. They don't have to cut up the shots with someone that can fight and it flows better. I was VERY impressed. I hope there's more!",positive
